Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
3,0,0.4,0.25,0.37850467289719625,0.125,1,0,0.671875,0.03389335281227173,1
4,0,0.4,1.0,0.5607476635514018,0.0,1,1,0.90625,0.30489408327246165,1
0,0,0.0,0.25,0.40654205607476634,0.25,1,1,0.734375,0.3466764061358656,1
1,0,0.2,0.5,0.37383177570093457,0.25,2,1,0.140625,0.025712198685171658,1
2,0,0.0,0.25,0.411214953271028,0.125,2,0,0.703125,0.216654492330168,1
4,0,0.2,0.0,0.308411214953271,0.125,2,0,0.171875,0.06077428780131483,1
3,0,0.2,0.75,0.719626168224299,0.125,1,0,0.03125,0.20014609203798392,1
4,0,0.4,0.0,0.6401869158878505,0.0,1,0,0.734375,0.2634039444850256,1
0,0,0.2,0.75,0.2523364485981308,0.125,1,0,0.15625,0.1256391526661797,1
1,0,0.2,0.25,0.3177570093457944,0.125,2,0,0.4375,0.027173119065010957,1
2,0,0.2,0.75,0.43457943925233644,0.0,2,1,0.171875,0.2756756756756757,1
4,0,0.4,1.0,0.6355140186915887,0.125,2,0,0.484375,0.32899926953981007,1
3,0,0.2,1.0,0.4766355140186916,0.125,2,0,0.0,0.389481373265157,1
4,0,0.4,0.75,0.8364485981308412,0.125,0,1,0.4375,0.23389335281227172,1
0,0,0.4,0.5,0.2616822429906542,0.125,1,1,0.65625,0.001168736303871439,1
1,0,0.4,0.5,0.6121495327102804,0.125,1,0,0.6875,0.24923301680058438,1
2,0,0.2,0.75,0.21962616822429906,0.0,2,0,0.078125,0.028195763330898467,1
4,2,0.6,1.0,0.6121495327102804,0.125,2,1,0.546875,0.4311176040905771,1
3,2,0.6,1.0,0.6682242990654206,0.125,0,1,0.265625,0.21826150474799125,1
4,2,0.4,1.0,0.22897196261682243,0.125,2,1,0.6875,0.008473338203067933,1
0,2,0.2,0.5,0.3037383177570093,0.0,2,0,0.578125,0.07596785975164354,1
1,2,0.2,0.0,0.6355140186915887,0.25,2,0,0.78125,0.27728268809349893,1
2,2,0.0,1.0,0.2803738317757009,0.0,1,1,0.015625,0.10942293644996348,1
4,2,0.4,0.5,0.5373831775700935,0.125,0,1,0.171875,0.4267348429510592,1
3,2,0.4,1.0,0.7242990654205608,0.0,2,0,0.421875,0.3739956172388605,1
4,2,0.2,0.0,0.602803738317757,0.25,1,1,0.4375,0.36449963476990505,1
0,2,0.4,0.0,0.35514018691588783,0.125,0,0,0.359375,0.009495982468955442,1
1,2,0.6,0.0,0.308411214953271,0.125,2,1,0.46875,0.06340394448502557,1
2,2,0.0,0.5,0.6448598130841121,0.25,1,1,0.671875,0.3116143170197224,1
4,2,0.6,0.75,0.40654205607476634,0.0,1,0,0.546875,0.4116873630387144,1
3,2,0.2,0.75,0.794392523364486,0.0,2,0,0.578125,0.254200146092038,1
4,2,0.6,0.5,0.7523364485981309,0.0,1,0,0.9375,0.3418553688823959,1
0,2,0.2,0.0,0.5934579439252337,0.125,1,0,0.328125,0.4081811541271001,1
1,2,0.4,0.25,0.6448598130841121,0.125,2,1,0.046875,0.3301680058436815,1
2,2,0.4,0.25,0.6121495327102804,0.25,2,0,0.328125,0.21314828341855369,1
4,2,0.6,0.75,0.24766355140186916,0.125,2,0,0.671875,0.1183345507669832,1
3,2,0.2,1.0,0.19158878504672897,0.25,0,0,0.953125,0.06953981008035062,1
4,2,0.0,0.75,0.397196261682243,0.5,2,0,0.234375,0.3804236669101534,1
0,2,0.6,0.0,0.5560747663551402,0.25,1,0,0.859375,0.4242512783053324,1
1,2,0.4,0.25,0.8084112149532711,0.375,1,0,0.6875,0.2018991964937911,1
2,2,0.6,0.0,0.6121495327102804,0.0,1,1,0.21875,0.40861943024105185,1
4,2,0.6,1.0,0.20093457943925233,0.25,2,1,0.9375,0.038568298027757485,1
3,2,0.2,1.0,0.19158878504672897,0.0,2,1,0.578125,0.0943754565376187,1
4,2,0.2,0.0,0.3644859813084112,0.0,1,1,0.671875,0.08108108108108109,1
0,2,0.2,0.0,0.2570093457943925,0.0,1,1,0.4375,0.04777209642074507,1
1,2,0.6,0.0,0.5327102803738317,0.125,1,0,0.125,0.28385682980277577,1
2,2,0.2,0.75,0.3411214953271028,0.25,2,0,0.484375,0.03564645726807889,1
4,2,0.6,0.0,0.29906542056074764,0.0,1,1,0.484375,0.08400292184075968,1
3,2,0.6,0.75,0.4392523364485981,0.0,2,1,0.125,0.402045288531775,1
4,2,0.6,0.5,0.5607476635514018,0.125,1,0,0.609375,0.1672753834915997,1
0,2,0.4,0.0,0.40654205607476634,0.125,1,1,0.5625,0.152081811541271,1
